CODSETOR;NOM_MU;NOM_DI
354680105000078;SANTA ISABEL;SANTA ISABEL
354680105000079;SANTA ISABEL;SANTA ISABEL
352620910000011;JUQUITIBA;BARNABES
355030821000111;SAO PAULO;CASA VERDE
355030867000166;SAO PAULO;RIO PEQUENO
355030867000063;SAO PAULO;RIO PEQUENO
355030867000009;SAO PAULO;RIO PEQUENO
355030867000169;SAO PAULO;RIO PEQUENO
355030867000164;SAO PAULO;RIO PEQUENO
355030867000162;SAO PAULO;RIO PEQUENO
355030867000061;SAO PAULO;RIO PEQUENO
355030867000062;SAO PAULO;RIO PEQUENO
355030867000130;SAO PAULO;RIO PEQUENO
355030867000131;SAO PAULO;RIO PEQUENO
355030821000095;SAO PAULO;CASA VERDE
355030865000168;SAO PAULO;RAPOSO TAVARES
355030867000089;SAO PAULO;RIO PEQUENO
355030867000230;SAO PAULO;RIO PEQUENO
355030867000232;SAO PAULO;RIO PEQUENO
355030867000202;SAO PAULO;RIO PEQUENO
355030867000233;SAO PAULO;RIO PEQUENO
355030867000234;SAO PAULO;RIO PEQUENO
355030867000091;SAO PAULO;RIO PEQUENO
355030867000094;SAO PAULO;RIO PEQUENO
355030867000206;SAO PAULO;RIO PEQUENO
355030850000057;SAO PAULO;LIMAO
355030867000161;SAO PAULO;RIO PEQUENO
355030867000060;SAO PAULO;RIO PEQUENO
355030867000201;SAO PAULO;RIO PEQUENO
355030867000203;SAO PAULO;RIO PEQUENO
355030867000030;SAO PAULO;RIO PEQUENO
355030867000163;SAO PAULO;RIO PEQUENO
355030867000008;SAO PAULO;RIO PEQUENO
355030867000007;SAO PAULO;RIO PEQUENO
355030867000010;SAO PAULO;RIO PEQUENO
355030867000002;SAO PAULO;RIO PEQUENO
355030821000076;SAO PAULO;CASA VERDE
355030867000121;SAO PAULO;RIO PEQUENO
355030867000120;SAO PAULO;RIO PEQUENO
355030867000134;SAO PAULO;RIO PEQUENO
355030867000003;SAO PAULO;RIO PEQUENO
355030865000167;SAO PAULO;RAPOSO TAVARES
355030867000196;SAO PAULO;RIO PEQUENO
355030867000088;SAO PAULO;RIO PEQUENO
355030867000231;SAO PAULO;RIO PEQUENO
355030867000271;SAO PAULO;RIO PEQUENO
355030867000194;SAO PAULO;RIO PEQUENO
355030821000077;SAO PAULO;CASA VERDE
355030867000059;SAO PAULO;RIO PEQUENO
355030867000235;SAO PAULO;RIO PEQUENO
355030867000092;SAO PAULO;RIO PEQUENO
355030867000199;SAO PAULO;RIO PEQUENO
355030867000160;SAO PAULO;RIO PEQUENO
355030867000029;SAO PAULO;RIO PEQUENO
355030867000197;SAO PAULO;RIO PEQUENO
355030867000200;SAO PAULO;RIO PEQUENO
355030867000151;SAO PAULO;RIO PEQUENO
355030867000110;SAO PAULO;RIO PEQUENO
355030870000065;SAO PAULO;SANTANA
355030867000098;SAO PAULO;RIO PEQUENO
355030867000099;SAO PAULO;RIO PEQUENO
355030867000263;SAO PAULO;RIO PEQUENO
355030867000262;SAO PAULO;RIO PEQUENO
355030867000250;SAO PAULO;RIO PEQUENO
355030867000249;SAO PAULO;RIO PEQUENO
355030867000268;SAO PAULO;RIO PEQUENO
355030867000097;SAO PAULO;RIO PEQUENO
355030867000248;SAO PAULO;RIO PEQUENO
355030867000208;SAO PAULO;RIO PEQUENO
355030870000064;SAO PAULO;SANTANA
355030867000270;SAO PAULO;RIO PEQUENO
355030867000251;SAO PAULO;RIO PEQUENO
355030867000252;SAO PAULO;RIO PEQUENO
355030867000095;SAO PAULO;RIO PEQUENO
355030867000242;SAO PAULO;RIO PEQUENO
355030867000167;SAO PAULO;RIO PEQUENO
355030867000209;SAO PAULO;RIO PEQUENO
355030867000113;SAO PAULO;RIO PEQUENO
355030867000207;SAO PAULO;RIO PEQUENO
355030867000111;SAO PAULO;RIO PEQUENO
355030870000063;SAO PAULO;SANTANA
355030867000168;SAO PAULO;RIO PEQUENO
355030867000264;SAO PAULO;RIO PEQUENO
355030867000112;SAO PAULO;RIO PEQUENO
355030867000101;SAO PAULO;RIO PEQUENO
355030867000100;SAO PAULO;RIO PEQUENO
355030867000102;SAO PAULO;RIO PEQUENO
353440105000727;OSASCO;OSASCO
353440105000667;OSASCO;OSASCO
353440105000726;OSASCO;OSASCO
353440105000908;OSASCO;OSASCO
355030870000060;SAO PAULO;SANTANA
353440105000728;OSASCO;OSASCO
355030867000114;SAO PAULO;RIO PEQUENO
353440105000665;OSASCO;OSASCO
355030867000237;SAO PAULO;RIO PEQUENO
355030867000093;SAO PAULO;RIO PEQUENO
355030867000238;SAO PAULO;RIO PEQUENO
355030867000236;SAO PAULO;RIO PEQUENO
355030865000099;SAO PAULO;RAPOSO TAVARES
355030865000181;SAO PAULO;RAPOSO TAVARES
355030865000183;SAO PAULO;RAPOSO TAVARES
355030870000029;SAO PAULO;SANTANA
355030865000075;SAO PAULO;RAPOSO TAVARES
355030865000184;SAO PAULO;RAPOSO TAVARES
355030865000005;SAO PAULO;RAPOSO TAVARES
355030865000026;SAO PAULO;RAPOSO TAVARES
355030865000124;SAO PAULO;RAPOSO TAVARES
355030865000123;SAO PAULO;RAPOSO TAVARES
355030865000051;SAO PAULO;RAPOSO TAVARES
355030865000161;SAO PAULO;RAPOSO TAVARES
355030865000162;SAO PAULO;RAPOSO TAVARES
355030865000160;SAO PAULO;RAPOSO TAVARES
355645305000025;VARGEM GRANDE PAULISTA;VARGEM GRANDE PAULISTA
355030870000193;SAO PAULO;SANTANA
355030865000074;SAO PAULO;RAPOSO TAVARES
355030865000101;SAO PAULO;RAPOSO TAVARES
355030865000102;SAO PAULO;RAPOSO TAVARES
355030865000002;SAO PAULO;RAPOSO TAVARES
355030865000006;SAO PAULO;RAPOSO TAVARES
353440105000672;OSASCO;OSASCO
353440105000769;OSASCO;OSASCO
353440105000626;OSASCO;OSASCO
353440105000846;OSASCO;OSASCO
355030867000253;SAO PAULO;RIO PEQUENO
355030870000191;SAO PAULO;SANTANA
355030865000009;SAO PAULO;RAPOSO TAVARES
355030865000105;SAO PAULO;RAPOSO TAVARES
355030865000103;SAO PAULO;RAPOSO TAVARES
355030865000104;SAO PAULO;RAPOSO TAVARES
355030867000245;SAO PAULO;RIO PEQUENO
355030867000269;SAO PAULO;RIO PEQUENO
355030867000244;SAO PAULO;RIO PEQUENO
355030865000166;SAO PAULO;RAPOSO TAVARES
355030865000129;SAO PAULO;RAPOSO TAVARES
355030865000127;SAO PAULO;RAPOSO TAVARES
355030870000030;SAO PAULO;SANTANA
355030865000165;SAO PAULO;RAPOSO TAVARES
355030865000164;SAO PAULO;RAPOSO TAVARES
355030865000163;SAO PAULO;RAPOSO TAVARES
355030865000058;SAO PAULO;RAPOSO TAVARES
355030867000239;SAO PAULO;RIO PEQUENO
355030867000241;SAO PAULO;RIO PEQUENO
355030867000205;SAO PAULO;RIO PEQUENO
355030867000204;SAO PAULO;RIO PEQUENO
355030867000034;SAO PAULO;RIO PEQUENO
355030867000165;SAO PAULO;RIO PEQUENO
355030870000009;SAO PAULO;SANTANA
355030867000170;SAO PAULO;RIO PEQUENO
355030867000171;SAO PAULO;RIO PEQUENO
355030867000172;SAO PAULO;RIO PEQUENO
355030867000173;SAO PAULO;RIO PEQUENO
355030867000210;SAO PAULO;RIO PEQUENO
355030867000065;SAO PAULO;RIO PEQUENO
355030867000174;SAO PAULO;RIO PEQUENO
353440105000003;OSASCO;OSASCO
353440105000015;OSASCO;OSASCO
353440105000004;OSASCO;OSASCO
355030821000084;SAO PAULO;CASA VERDE
353440105000039;OSASCO;OSASCO
353440105000038;OSASCO;OSASCO
353440105000017;OSASCO;OSASCO
353440105000018;OSASCO;OSASCO
353440105000020;OSASCO;OSASCO
353440105000019;OSASCO;OSASCO
353440105000006;OSASCO;OSASCO
353440105000016;OSASCO;OSASCO
353440105000041;OSASCO;OSASCO
353440105000078;OSASCO;OSASCO
355030821000057;SAO PAULO;CASA VERDE
353440105000077;OSASCO;OSASCO
353440105000079;OSASCO;OSASCO
